Use of proceeds,Amount NGN bn,% of net proceeds,Purpose,Source
Refinery process units & major equipment,686.5,32.5,Expansion capex,Prospectus / Vetiva FAQ
"Utilities, offsites & associated infrastructure",841,39.8,Expansion capex,Prospectus / Vetiva FAQ
"Construction, installation & other expansion works",583.5,27.6,Expansion capex,Prospectus / Vetiva FAQ
Total net IPO proceeds,2111,100,Part-fund expansion programme,Prospectus / Vetiva FAQ
Gross offer proceeds,2152.5,,4.1bn shares × ₦525,Prospectus / Vetiva FAQ
Offer expenses,41.49,,Estimated transaction costs,Prospectus / secondary prospectus analysis
