Holder / interest,Pre-IPO shares,Pre-IPO %,Post-IPO treatment,Analytical note,Source
Dangote Oil Refining Company Ltd,79086556154,65.835,Diluted by new shares,Largest vehicle; part of Dangote beneficial control,Prospectus analysis / Nairametrics
Dangote Industries Ltd,17903461538,14.904,Diluted by new shares,Related-party / control structure,Prospectus analysis / Nairametrics
Greenview International Corp,7803769230,6.496,Diluted by new shares,Part of Dangote beneficial control,Prospectus analysis / Nairametrics
NNPC Ltd,8186982308,6.815,Diluted by new shares,Strategic shareholder,Prospectus analysis / Nairametrics
Others,7148146671,5.95,Diluted by new shares,Other pre-IPO holders,Prospectus analysis / Nairametrics
New IPO shares,0,0,4.1bn new shares,Primary capital raise,Official IPO / prospectus
Post-IPO total,120128915901,,124.2289bn,Used for equity-value calculation,Prospectus / official IPO terms
