Period,Revenue USD bn,Cost of Sales USD bn,Gross Profit USD bn,Operating Profit USD bn,Finance Income USD bn,Finance Cost USD bn,PBT USD bn,Tax USD bn,PAT USD bn,Operating Cash Flow USD bn,Investing Cash Flow USD bn,Financing Cash Flow USD bn,Cash End USD bn,Source
2024,6.337607,6.93739,-0.599783,-0.635634,0,0.873056,-1.50869,0,-1.50869,-2.605915,-0.055381,2.85885,0.31283,DPRP IPO Prospectus pp. 88–91
2025,12.330455,12.101191,0.229264,0.146534,0.02194,0.64428,-0.475806,0,-0.475806,1.197632,-0.184392,-0.29409,1.075261,DPRP IPO Prospectus pp. 88–91
H1 2025,5.564761,5.419702,0.145059,0.060025,9.3e-05,0.338319,-0.282129,0,-0.282129,0.536836,-0.024909,-0.345134,0.479623,DPRP IPO Prospectus pp. 86–90
H1 2026,13.909531,11.41428,2.495251,2.365271,0.049574,0.308769,2.106076,0.285562,1.820514,1.272905,0.011683,1.826083,4.267422,DPRP IPO Prospectus pp. 86–91
